,id,name,start_date,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,gear_id,average_speed,max_speed
59,7484330578,Morning Workout,2022-07-17T13:41:25Z,2022-07-17T10:41:25Z,Workout,2367.4,1878,3940,148.6,Workout,,1.261,3.462
60,7409543447,Morning Ride,2022-07-03T12:21:26Z,2022-07-03T09:21:26Z,Ride,25532.9,7939,12932,623.7,Ride,b9757407,3.216,15.967
61,7377601543,Morning Ride,2022-06-25T12:20:48Z,2022-06-25T09:20:48Z,Ride,23338.3,4732,5092,298.0,Ride,b9757407,4.932,12.992
62,7340381811,Morning Ride,2022-06-18T12:20:10Z,2022-06-18T09:20:10Z,Ride,20931.8,4607,11204,434.0,Ride,b9757407,4.543,15.392
63,7340381721,Morning Ride,2022-06-16T12:01:22Z,2022-06-16T09:01:22Z,Ride,21018.5,5012,11895,478.0,Ride,b9757407,4.194,14.91
64,7340381715,Morning Ride,2022-06-04T11:50:36Z,2022-06-04T08:50:36Z,Ride,21172.6,5483,9415,464.0,Ride,b9757407,3.861,14.814
65,7097404134,Morning Ride,2022-05-06T10:37:12Z,2022-05-06T07:37:12Z,Ride,25347.6,4301,4572,281.0,Ride,b9757407,5.893,13.04
66,7057078424,Morning Ride - PDZ Hotel Fazenda Sta. Helena,2022-04-24T12:50:14Z,2022-04-24T09:50:14Z,Ride,20288.8,5352,10526,942.0,Ride,b9757407,3.791,9.5
67,7057078287,Morning Ride,2022-04-23T11:10:10Z,2022-04-23T08:10:10Z,Ride,21131.9,4568,14470,476.0,Ride,b9757407,4.626,14.076
68,7022697670,Morning Ride,2022-04-22T11:02:26Z,2022-04-22T08:02:26Z,Ride,43677.6,8664,9143,618.8,Ride,b9757407,5.041,14.17
69,7057078250,Morning Ride,2022-04-17T11:16:17Z,2022-04-17T08:16:17Z,Ride,23642.5,5662,11938,653.0,Ride,b9757407,4.176,13.686
70,6986238733,Morning Ride,2022-04-15T11:12:02Z,2022-04-15T08:12:02Z,Ride,24896.6,6538,14922,490.2,Ride,b9757407,3.808,12.755
71,6980276793,Morning Ride,2022-04-14T11:54:36Z,2022-04-14T08:54:36Z,Ride,26273.3,4645,4696,303.0,Ride,b9757407,5.656,15.168
72,6901688614,Morning Ride,2022-03-26T10:50:08Z,2022-03-26T07:50:08Z,Ride,22411.4,5369,10470,631.0,Ride,b9757407,4.174,12.534
73,6901688471,Morning Ride,2022-03-25T10:38:37Z,2022-03-25T07:38:37Z,Ride,21083.4,4646,5682,445.0,Ride,b9757407,4.538,12.71
74,6863823953,Morning Ride,2022-03-22T10:52:01Z,2022-03-22T07:52:01Z,Ride,26094.3,4363,4689,321.0,Ride,b9757407,5.981,14.9
75,6863823944,Morning Ride,2022-03-18T10:43:06Z,2022-03-18T07:43:06Z,Ride,27306.8,4800,4998,371.0,Ride,b9757407,5.689,13.296
76,6838416930,Morning Ride,2022-03-15T10:47:25Z,2022-03-15T07:47:25Z,Ride,22519.6,4270,5187,272.0,Ride,b9757407,5.274,11.978
77,6822235769,Morning Ride,2022-03-13T11:00:17Z,2022-03-13T08:00:17Z,Ride,17603.3,4562,17826,566.0,Ride,b9757407,3.859,12.93
