,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,external_id
104,6309591984,Morning Ride,2021-11-26T07:34:23Z,Ride,19326.6,6041,7537,644.0,"[-22.159404885023832, -43.29036324284971]","[-22.159649720415473, -43.29086322337389]",garmin_push_7876573183
105,6300828343,Morning Ride,2021-11-24T07:36:07Z,Ride,24825.9,4535,4627,312.0,"[-22.15926348231733, -43.289770893752575]","[-22.159354761242867, -43.29041697084904]",garmin_push_7866796659
106,6296321210,Morning Ride,2021-11-23T07:34:11Z,Ride,12315.1,4092,4918,426.0,"[-22.159827668219805, -43.29056507907808]","[-22.159342439845204, -43.29037330113351]",garmin_push_7861802242
107,6275000006,Morning Ride,2021-11-18T07:45:37Z,Ride,8752.9,2771,3095,294.0,"[-22.16017099097371, -43.290292248129845]","[-22.15939692221582, -43.29041747376323]",garmin_push_7838059352
108,6242779471,Morning Ride,2021-11-11T07:37:38Z,Ride,15827.8,5394,6570,558.0,"[-22.160226898267865, -43.290134919807315]","[-22.15925183147192, -43.29051252454519]",garmin_push_7802212009
109,6233390475,Morning Ride,2021-11-09T07:23:30Z,Ride,27320.2,4673,4698,366.0,"[-22.15897078625858, -43.29037363640964]","[-22.15943262912333, -43.29036592505872]",garmin_push_7791655902
110,6225404606,Morning Ride,2021-11-07T08:37:35Z,Ride,12669.7,4140,10586,420.9,"[-22.159427935257554, -43.29023776575923]","[-22.148322081193328, -43.231673911213875]",garmin_push_7782565531
111,6220223104,Morning Ride,2021-11-06T08:19:47Z,Ride,22497.3,4578,15905,453.9,"[-22.15940723195672, -43.29010583460331]","[-22.15918687172234, -43.29031295143068]",garmin_push_7776952255
112,6210600986,Morning Ride,2021-11-04T07:34:20Z,Ride,13655.1,4702,5695,497.0,"[-22.159876450896263, -43.290759874507785]","[-22.15937253087759, -43.290420323610306]",garmin_push_7766223802
113,6210600842,Morning Ride,2021-11-02T08:23:14Z,Ride,25144.8,6886,15653,716.0,"[-22.159225679934025, -43.2902099378407]","[-22.159283263608813, -43.29035310074687]",garmin_push_7766223727
114,6192821753,Morning Ride,2021-10-31T09:51:35Z,Ride,22229.1,5370,7594,431.9,"[-22.159387450665236, -43.29032979905605]","[-22.11875575594604, -43.202978214249015]",garmin_push_7746110595
